105,Бирюсинск,Иркутская область,Сибирский,8981,1967
106,Бирюч,Белгородская область,Центральный,7842,1705
107,Благовещенск,Башкортостан,Приволжский,34246,1756
108,Благовещенск,Амурская область,Дальневосточный,214397,1856
109,Благодарный,Ставропольский край,Северо-Кавказский,32736,1782
110,Бобров,Воронежская область,Центральный,19738,1698
111,Богданович,Свердловская область,Уральский,31752,1885
112,Богородицк,Тульская область,Центральный,31897,1663
113,Богородск,Нижегородская область,Приволжский,25497,1570
114,Боготол,Красноярский край,Сибирский,21029,1893
115,Богучар,Воронежская область,Центральный,11811,1704
116,Бодайбо,Иркутская область,Сибирский,15331,1864
117,Бокситогорск,Ленинградская область,Северо-Западный,16593,1929
118,Болгар,Татарстан,Приволжский,8650,1781
119,Бологое,Тверская область,Центральный,23499,1495
120,Болотное,Новосибирская область,Сибирский,16969,1805
121,Болохово,Тульская область,Центральный,9619,16 век
122,Болхов,Орловская область,Центральный,11421,1196
123,Большой Камень,Приморский край,Дальневосточный,39257,1947
124,Бор,Нижегородская область,Приволжский,78079,14 век
125,Борзя,Забайкальский край,Сибирский,31376,1899
126,Борисоглебск,Воронежская область,Центральный,65585,1698
127,Боровичи,Новгородская область,Северо-Западный,54731,15 век
128,Боровск,Калужская область,Центральный,12283,1358
129,Бородино,Красноярский край,Сибирский,17423,1949
130,Братск,Иркутская область,Сибирский,246348,1631
131,Бронницы,Московская область,Центральный,21102,1453
132,Брянск,Брянская область,Центральный,415640,985
133,Бугульма,Татарстан,Приволжский,89144,1736
134,Бугуруслан,Оренбургская область,Приволжский,52249,1748
135,Будённовск,Ставропольский край,Северо-Кавказский,64628,1799
136,Бузулук,Оренбургская область,Приволжский,82816,1736
137,Буинск,Татарстан,Приволжский,20342,1691
138,Буй,Костромская область,Центральный,25763,1536
139,Буйнакск,Дагестан,Северо-Кавказский,65735,1834
140,Бутурлиновка,Воронежская область,Центральный,27208,1740
141,Валдай,Новгородская область,Северо-Западный,16099,15 век
142,Валуйки,Белгородская область,Центральный,35322,1593
143,Велиж,Смоленская область,Центральный,7620,1536
144,Великие Луки,Псковская область,Северо-Западный,98778,1166
145,Великий Новгород,Новгородская область,Северо-Западный,218724,8—9 века
146,Великий Устюг,Вологодская область,Северо-Западный,31664,1147
147,Вельск,Архангельская область,Северо-Западный,23885,1137
148,Венёв,Тульская область,Центральный,15220,1371
149,Верещагино,Пермский край,Приволжский,22760,1898
150,Верея,Московская область,Центральный,5368,1371
151,Верхнеуральск,Челябинская область,Уральский,9459,1734
152,Верхний Тагил,Свердловская область,Уральский,11843,1716
153,Верхний Уфалей,Челябинская область,Уральский,30504,1761
154,Верхняя Пышма,Свердловская область,Уральский,58707,1854
155,Верхняя Салда,Свердловская область,Уральский,46240,1778
156,Верхняя Тура,Свердловская область,Уральский,9468,1737
157,Верхотурье,Свердловская область,Уральский,8815,1597
158,Верхоянск,Якутия,Дальневосточный,1311,1638
159,Весьегонск,Тверская область,Центральный,7330,1564
160,Ветлуга,Нижегородская область,Приволжский,8956,1606
161,Видное,Московская область,Центральный,56798,1949
162,Вилюйск,Якутия,Дальневосточный,10233,1634
163,Вилючинск,Камчатский край,Дальневосточный,22905,1968
164,Вихоревка,Иркутская область,Сибирский,22528,1957
165,Вичуга,Ивановская область,Центральный,37609,1925
166,Владивосток,Приморский край,Дальневосточный,592069,1860
167,Владикавказ,Северная Осетия — Алания,Северо-Кавказский,311635,1784
168,Владимир,Владимирская область,Центральный,348256,990
